Passage,Correct answers,Type,Difficulty,Size,Questions,Flags
"1. If a = (9/8)b, then 3b/(4a) =

(A) 2/3
(B) 1/3
(C) 4/3
(D) 2",A,,,,,
"2. If 2.4p = 0.08q, then (q + p)/(q - p) =

(A) 31/28
(B) 31/27
(C) 31/29
(D) 39/35",C,,,,,
"3. If a : b = 2 : 3, find (3a + 4b)/(4a + 5b)

(A) 6 : 7
(B) 18 : 23
(C) 19 : 23
(D) 20 : 23",B,,,,,
"4. If a : b = b : c = 2 : 3, find a : b : c.

(A) 4 : 6 : 9
(B) 2 : 3 : 3
(C) 3 : 3 : 4
(D) 9 : 6 : 4",A,,,,,
"5. If p : q = 5 : 6 and q : r = 4 : 7, then find p : q : r

(A) 10 : 12 : 21
(B) 20 : 24 : 35
(C) 15 : 18 : 28
(D) 25 : 30 : 35",A,,,,,
"6. Find a : e, if a : b = 2 : 3, b : c = 6 : 7, c : d = 14 : 25 and d : e = 1 : 2.

(A) 14 : 25
(B) 6 : 25
(C) 12 : 25
(D) 4 : 25",D,,,,,
"7. If p : q = 5 : 4 and p = a + b and q = a - b, find a : b.

(A) 1 : 9
(B) 9 : 1
(C) 5 : 4
(D) 4 : 5",B,,,,,
"8. Thirty five sweets are distributed among Sita and Gita in the ratio 4 : 3. Find the number of sweets received by Sita.

(No options provided in PDF)",20,,,,,
"9. Two numbers are in the ratio of 2 : 5. If 4 is added to each, they would be in the ratio 4 : 9. Find the numbers.

(A) 16 and 40
(B) 18 and 45
(C) 22 and 55
(D) 20 and 50",A,,,,,
"10. The ratio of the ages of A, B and C is 7 : 5 : 4. If C's age is 32 years, find the sum of the ages of A, B and C (in years).

(No options provided in PDF)",128,,,,,
"11. The ratio of the ages of four members of a family is 9 : 8 : 3 : 2. The average age of the family is 22 years. What is the age of the eldest person in the family?

(A) 36 years
(B) 32 years
(C) 12 years
(D) 6 years",A,,,,,
"12. The number of marbles with A and B are in the ratio of 10 : 11. Which of the following cannot be a possible number of marbles with A and B together?

(A) 189
(B) 210
(C) 231
(D) 153",D,,,,,
"13. The strength of a class is 70. Which of the following cannot be the ratio of the number of boys and girls in the class?

(A) 2:5
(B) 3:2
(C) 11:3
(D) 9:2",D,,,,,
"14. The ratio of the number of ladies and gentlemen in a party is 3:4. If eight ladies join the party, the ratio of ladies and gentlemen would become 5:4. Find the number of gentlemen in the party.

(No options provided in PDF)",16,,,,,
"15. The ratio of the present ages of a mother and a son is 4:1. Twelve years from now, the ratio of their ages will be 2:1. Find the present ages of mother and son respectively. (in years)

(A) 36,9
(B) 28,6
(C) 24,6
(D) 32,8",C,,,,,
"16. The ratio of the number of chocolates with A and B is 3:4. If A gives four chocolates to B, the ratio of the number of chocolates with them becomes 5:9. How many chocolates did A have initially?

(No options provided in PDF)",24,,,,,
"17. The ratio of the number of students in three classes A,B and C is 3:7:8. If ten students, are transferred from C to B, B will have 80 students. Find the total number of students in the three classes.

(No options provided in PDF)",180,,,,,
"18. The ratio of the incomes of A and B is 4:3. The ratio of the savings of A and B is 5:6. Find the ratio of the expenditures of A and B, if A spends three-fourth of his income.

(A) 3:2
(B) 5:3
(C) 3:5
(D) 2:3",A,,,,,
"19. The ratio of the monthly incomes of A and B is 3:4. The ratio of the monthly expenditures of A and B is 4:5. Which of the following represents a possible value of the ratio of their savings?

(A) 9:10
(B) 3:4
(C) 13:20
(D) 4:5",C,,,,,
"20. The ratio of the present ages of a husband and a wife is 5:4.

(i) Which of the following can be a possible ratio of their ages 20 years ago?
(A) 5:4
(B) 6:5
(C) 23:20
(D) 13:10

(ii) Which of the following can be a possible ratio of their ages 20 years hence?
(A) 5:4
(B) 6:5
(C) 7:5
(D) 13:10","(i) D
(ii) B",,,,,
"21. Four positive numbers are in the ratio of 1:2:3:4. If the sum of their squares is equal to 480, find the numbers.

(A) 2,4,8,10
(B) 8,12,16,20
(C) 4,8,12,16
(D) 8,10,12,16",C,,,,,
"22. Three positive numbers p, q and r satisfy (q + r)/p = (p + r)/q = (p + q)/r = K. K =

(A) 3/2
(B) 5/2
(C) 3
(D) 2",D,,,,,
"23. x varies directly as y² and when y = 12, x = 4. Find x when y = 18.

(A) 9 1/16
(B) 9
(C) 1/9
(D) 16/9",B,,,,,
"24. The area of a square varies with the square of its diagonal. The area of a square whose diagonal measures eight units is 32 sq.units. Find the diagonal of a square of area 72 sq.units (in units).

(No options provided in PDF)",12,,,,,
"25. The monthly salary of an employee in an office varies directly with the number of days he works in that month. An employee gets 10400 as salary in a month in which he works for 26 days. Find his salary (in ₹) in a month in which he works for 24 days.

(No options provided in PDF)",9600,,,,,
"26. For a given distance, speed is inversely proportional to the time taken. Raju would take six hours to cover it if his speed was 50 km/hr. Find the time taken (in hours) by him to cover it if his speed was 100 km/hr.

(A) 2
(B) 3
(C) 4
(D) 6",B,,,,,
"27. P, Q and R are three quantities, P varies directly with the sum of Q and R. If both Q and R decrease by 1, find the change in P.

(A) No change
(B) A decrease of 2
(C) An increase of 2
(D) Cannot be determined",D,,,,,
"28. A, B and C are three quantities. A varies directly with B when C is constant. A varies directly with C when B is constant. A = 6000 if B = 20 and C = 30. Find A if B = 40 and C = 60.

(No options provided in PDF)",24000,,,,,
"29. A varies directly with B when C is constant and inversely with C when B is constant. When A = 26, B = 65 and C = 30. Find A when B = 84 and C = 42.

(A) 24
(B) 36
(C) 14
(D) 32",A,,,,,
"30. X, Y and Z are three quantities. X varies inversely with Y when Z is constant. Y varies inversely with Z when X is constant. When Y = 8, and Z = 7, X = 30. Find X if Y = 16 and Z = 21.

(No options provided in PDF)",5,,,,,
"Exercise - 2(a) Q1. If a:b=3:7, what is the value of (4a + 5b)/(2a + 2b)?

(A) 47/20
(B) 3/2
(C) 7/4
(D) 5/2",A,,,,,
"Exercise - 2(a) Q2. If a:b=2:3, b:c=4:3 and c:d=2:3, then find a:b:c:d.

(A) 8:12:9:27
(B) 16:24:18:27
(C) 18:27:36:8
(D) 12:18:15:20",B,,,,,
"Exercise - 2(a) Q3. The weights of Bimal and Basu are in the ratio 2:3 and the weights of Basu and Bali are in the ratio 4:3. What is Basu's weight (in kg) if the sum of the weights of Bimal, Basu and Bali is 203 kg?

(No options provided in PDF)",84,,,,,
"Exercise - 2(a) Q4. The ratio of the number of boys to the number of girls in a school is 7:3. If an additional 15 girls were to join the class, the ratio of the number of boys to the number of girls would become 2:3. What is the initial number of girls in the class?

(A) 4
(B) 10
(C) 12
(D) 6",D,,,,,
"Exercise - 2(a) Q5. If 3x - 4y + 2z = 0 and 4x - 2y - z = 0, find x:z:y

(A) 8:10:11
(B) 8:11:40
(C) 11:40:8
(D) 8:40:11",A,,,,,
"Exercise - 2(a) Q6. What must be subtracted from p and added to q so that the ratio of the resultants becomes 1:3?

(A) (p + q)/3
(B) (3p - q)/4
(C) (p - q)/(p + q)
(D) (q - 3p)/4",B,,,,,
"Exercise - 2(a) Q7. A certain number is added to each of a pair of numbers which are in the ratio 4:7. The sum of the resulting numbers is 75 and their ratio (taken in the same order as mentioned above) is 8:17. What is the number added?

(No options provided in PDF)",-12,,,,,
"Exercise - 2(a) Q8. Rohan and Sohan had certain amounts of money with them. The ratio of the amounts with them is 8:5. Each day Rohan spends a certain amount and Sohan earns one-sixth of the amount that Rohan spends. After 9 days, the ratio of the amounts with them is 10:11. After how many more days, will the ratio of the amounts with them be 18:35?

(No options provided in PDF)",6,,,,,
"Exercise - 2(a) Q9. Vipin's present age is twice the age of Kishore one year ago. What is the sum of their present ages (in years), if the ratio of the sum of their present ages to the difference of their present ages is 19:5?

(No options provided in PDF)",19,,,,,
"Exercise - 2(a) Q10. Three different types of balls priced at 5, 8 and 13 per piece are displayed in three different boxes by a trader. Mr. Paul bought from this shop all three types of balls spending a total sum of 768. The numbers of the balls he bought, taken in the order in which the prices are mentioned above, are in the ratio 5:4:3. How many balls of the costliest variety did he buy?

(A) 104
(B) 64
(C) 48
(D) 24",D,,,,,
"Exercise - 2(a) Q11. A certain amount of money is divided among nine brothers. The second brother gets 12 more than twice the amount given to the first brother. The third brother gets 13 more than three times the amount given to the first brother, and so on till the ninth brother. If the ratio of the amount with the ninth brother to the amount with the first brother is 10:1, how much did the fifth brother get (in ₹)?

(A) 100
(B) 80
(C) 90
(D) 50",C,,,,,
"Exercise - 2(a) Q12. Some apples are divided among four people Karan, Kiran, Kumar and Khanna. The ratio of the number of apples given to Kiran to the total number of apples given to Karan and Khanna is 1:2. The ratio of the number of apples given to Kumar to that of the remaining apples is 2:5. Khanna gets 2 apples more than Kiran. Karan gets half the number of apples that Kumar gets. What is the total number of apples distributed?

(A) 21
(B) 18
(C) 19
(D) 24",A,,,,,
"Exercise - 2(a) Q13. Alok distributed a certain number of toffees among his brothers Bala, Chetan and David in the ratio 4:4:9. David distributed the toffees that he received among his sisters Amitha, Bama and Chandra in the ratio 1:7:8. If Amitha received 18 toffees, the number of toffees distributed by Alok is

(No options provided in PDF)",544,,,,,
"Exercise - 2(a) Q14. The amount used to purchase one litre of petrol can be used to purchase three litres of diesel or five litres of kerosene. Out of a certain amount, 510 is spent on diesel. How much is spent on kerosene if equal volumes of the three liquids are purchased with the total amount?

(A) 300
(B) 306
(C) 382
(D) 354",B,,,,,
"Exercise - 2(a) Q15. The amount used to purchase one litre of petrol can be used to purchase three litres of diesel or five litres of kerosene. Out of a certain amount, 510 is spent on diesel. What will be the amount spent on petrol if the total amount referred in the above question is instead spent to purchase equal volumes of petrol and kerosene only?

(A) 1250
(B) 1275
(C) 1955
(D) 1360",C,,,,,
"Exercise - 2(a) Q16. If k = (a + c)/(b + d) = (c + e)/(d + f) = (a + e)/(b + f), when all quantities are positive, then which of the following must be true?

(A) k = e/f
(B) k = a/b
(C) k = c/d
(D) All of the above",D,,,,,
"Exercise - 2(a) Q17. A number of coins can be divided in the ratio 13:14:15. They can also be divided in the ratio 9:10:11:12. If the difference between the greatest parts in the two cases is 6, the number of coins is

(No options provided in PDF)",180,,,,,
"Exercise - 2(a) Q18. The mean proportional between two numbers is 9 and the third proportional of the two numbers is 243. Find the larger of the two numbers.

(A) 27
(B) 81
(C) 9
(D) 54",B,,,,,
"Exercise - 2(a) Q19. P and Q are distinct two-digit numbers. Ps and Qs denote the sums of the digits in P and Q respectively. If P/Ps = Q/Qs, then find the minimum possible value of Ps + Qs

(A) 8
(B) 9
(C) 6
(D) 3",C,,,,,
"Exercise - 2(a) Q20. For a body starting from rest, the distance travelled (d) is directly proportional to the square of the time elapsed from the start (t). When t = 4 sec, d = 48 m. What is the value of d (in metres) at t = 7 sec?

(A) 128
(B) 150
(C) 115
(D) 147",D,,,,,
"Exercise - 2(a) Q21. A certain sum of money is sufficient to pay the wages of worker A for 55 days. It is also sufficient to pay the wages of worker B for 66 days. The number of days that the sum of money is sufficient to pay the wages of both workers is

(No options provided in PDF)",30,,,,,
"Exercise - 2(a) Q22. The volume of a cone varies as the square of the radius of its base when its height is fixed and also varies as its height when radius of its base is fixed. If a radius of 3cm and height of 7cm give it a volume of 66 cubic centimetre, then what will be the radius, (in centimetres), if the cone has a height of 6cm and volume of 308 cubic centimetres?

(A) 9
(B) 15
(C) 7
(D) 11",C,,,,,
"Exercise - 2(a) Q23. The kinetic energy of a body is directly proportional to the square of its speed when the mass is kept constant and is directly proportional to mass when its speed is kept constant. A body with a mass of 2kg and a speed of 10m/s has a kinetic energy of 100 joules. What is the kinetic energy of a body whose mass is 20kg and speed is 1m/s?

(A) 100 joules
(B) 1000 joules
(C) 10 joules
(D) 20 joules",C,,,,,
