Passage,Correct answers,Type,Difficulty,Size,Questions,Flags,
"Generations of mystery and horror ____ have been influenced by the dark, gothic stories of celebrated American author Edgar Allan Poe (1809-1849).

A. writers
B. writers,
C. writers-
D. writers;",A,,Easy,,,,No punctuation is needed between the subject and the verb.
"The radiation that ____ during the decay of radioactive atomic nuclei is known as gamma radiation.

A. occurs
B. have occurred
C. occur
D. are occurring",A,,Easy,,,,"Singular verb ""occurs"" agrees with singular subject ""radiation."""
"The Mission 66 initiative, which was approved by Congress in 1956, represented a major investment in the infrastructure of overburdened national ____ it prioritized physical improvements to the parks roads, utilities, employee housing, and visitor facilities while also establishing educational programming for the public.

A. parks and
B. parks
C. parks;
D. parks,",C,,Medium,,,,Semicolon correctly joins two main clauses.
"A recent study tracked the number of bee species present in twenty‑seven New York apple orchards over a ten‑year period. ____ found that when wild growth near an orchard was cleared, the number of different bee species visiting the orchard decreased.

A. Entomologist Heather Grab:
B. Entomologist, Heather Grab,
C. Entomologist Heather Grab
D. Entomologist Heather Grab,",C,,Hard,,,,"No punctuation needed between name and title, nor between subject and verb."
"Despite being cheap, versatile, and easy to produce, ____ they are made from nonrenewable petroleum, and most do not biodegrade in landfills.

A. there are two problems associated with commercial plastics:
B. two problems are associated with commercial plastics:
C. commercial plastics' two associated problems are that
D. commercial plastics have two associated problems:",D,,Hard,,,,"Modifier ""despite..."" must be placed immediately before the noun it modifies (""commercial plastics"")."
"The algaia is a double reed wind instrument from West Africa. The reed of a wind instrument is the mouthpiece ____ A double reed contains two pieces of cane that vibrate and produce sound as air passes between them.

A. where sound is made?
B. where is sound made.
C. where sound is made.
D. where is sound made?",C,,Easy,,,,Period correctly punctuates a declarative sentence.
"On April 5, 1977, Kitty Cone and 150 other disability rights activists entered a San Francisco federal building. After pleading for years‑ to no effect‑ for the passage of key antidiscrimination legislation, ____ until their demands were addressed. Finally, on April 28, the legislation was signed.

A. pressure on lawmakers increased when the activists staged a sit‑in protest
B. a sit‑in protest staged by the activists increased pressure on lawmakers
C. lawmakers came under increased pressure when the activists staged a sit‑in protest
D. the activists increased pressure on lawmakers by staging a sit‑in protest",D,,Medium,,,,"Subject ""the activists"" placed immediately after the modifying phrase."
"If an animal can recognize itself in a reflective surface (""the mirror test""), it is considered to have self‑awareness. In a recent study, scientists ____ for evidence of self‑awareness in snakes, species that rely primarily on olfactory rather than visual processing, adapted the test to foreground smell, modifying the scent trails of North American eastern garter snakes and African ball pythons.

A. searched
B. searching
C. were searching
D. have searched",B,,Hard,,,,"Present participle ""searching"" forms a supplementary element modifying ""scientists."""
"In recent years, economists around the world have created new tools that quantify the overall well‑being of a country's citizens. Economists in India, for example, use an Ease of Living Index. This tool ____ economic potential, sustainability, and citizens' quality of life.

A. measures
B. had measured
C. would have measured
D. will have been measuring",A,,Easy,,,,"Simple present tense ""measures"" matches general facts and the tense of ""use."""
"French philosopher René Descartes doubted whether he could prove his own existence. Eventually, he found proof in his famous phrase ""I think, therefore I am."" The ____ complexity: only those who exist would be able to ponder their existence.

A. phrases' simplicity masks its
B. phrases simplicity masks their
C. phrase's simplicity masks their
D. phrase's simplicity masks its",D,,Medium,,,,"Singular possessive ""phrase's"" and singular possessive determiner ""its"" agree."
