Passage,,,,,,Flags,,,Type
"Lines (5) - (30)
Scientists long believed that two nerve clusters in the human hypothalamus, called suprachiasmatic nuclei (SCNs), were what controlled our circadian rhythms. Those rhythms are the biological cycles that recur approximately every 24 hours in synchronization with the cycle of sunlight and darkness caused by Earth's rotation. Studies have demonstrated that in some animals, the SCNs control daily fluctuations in blood pressure, body temperature, activity level, and alertness, as well as the nighttime release of the sleep-promoting agent melatonin. Furthermore, cells in the human retina dedicated to transmitting information about light levels to the SCNs have recently been discovered.

Four critical genes governing circadian cycles have been found to be active in every tissue, however, not just the SCNs, of flies, mice, and humans. In addition, when laboratory rats that usually ate at will were fed only once a day, peak activity of a clock gene in their livers shifted by 12 hours, whereas the same clock gene in the SCNs remained synchronized with light cycles. While scientists do not dispute the role of the SCNs in controlling core functions such as the regulation of body temperature and blood pressure, scientists now believe that circadian clocks in other organs and tissues may respond to external cues other than light—including temperature changes—that recur regularly every 24 hours.",RC,,,,"456. The primary purpose of the passage is to
A. challenge recent findings that appear to contradict earlier findings
B. present two sides of an ongoing scientific debate
C. report answers to several questions that have long puzzled researchers
D. discuss evidence that has caused a long-standing belief to be revised
E. attempt to explain a commonly misunderstood biological phenomenon
***
457. The passage mentions each of the following as a function regulated by the SCNs in some animals EXCEPT
A. activity level
B. blood pressure
C. alertness
D. vision
E. temperature
***
458. The author of the passage would probably agree with which of the following statements about the SCNs?
A. The SCNs are found in other organs and tissues of the body besides the hypothalamus.
B. The SCNs play a critical but not exclusive role in regulating circadian rhythms.
C. The SCNs control clock genes in a number of tissues and organs throughout the body.
D. The SCNs are a less significant factor in regulating blood pressure than scientists once believed.
E. The SCNs are less strongly affected by changes in light levels than they are by other external cues.",5,,,RC
"Lines (5) - (30)
In their study of whether offering a guarantee of service quality will encourage customers to visit a particular restaurant, Tucci and Talaga have found that the effect of such guarantees is mixed. For higher-priced restaurants, there is some evidence that offering a guarantee increases the likelihood of customer selection, probably reflecting the greater financial commitment involved in choosing an expensive restaurant. For lower-priced restaurants, where one expects less assiduous service, Tucci and Talaga found that a guarantee could actually have a negative effect: a potential customer might think that a restaurant offering a guarantee is worried about its service. Moreover, since customers understand a restaurant's product and know what to anticipate in terms of service, they are empowered to question its quality. This is not generally true in the case of skilled activities such as electrical work, where, consequently, a guarantee might have greater customer appeal.

For restaurants generally, the main benefit of a service guarantee probably lies not so much in customer appeal as in managing and motivating staff. Staff members would know what service standards are expected of them and also know that the success of the business relies on their adhering to those standards. Additionally, guarantees provide some basis for defining the skills needed for successful service in areas traditionally regarded as unskilled, such as waiting tables.",RC,,,,"459. The primary purpose of the passage is to
A. question the results of a study that examined the effect of service-quality guarantees in the restaurant industry
B. discuss potential advantages and disadvantages of service-quality guarantees in the restaurant industry
C. examine the conventional wisdom regarding the effect of service-quality guarantees in the restaurant industry
D. argue that only certain restaurants would benefit from the implementation of service-quality guarantees
E. consider the impact that service-quality guarantees can have on the service provided by a restaurant
***
460. It can be inferred that the author of the passage would agree with which of the following statements about the appeal of service guarantees to customers?
A. Such guarantees are likely to be somewhat more appealing to customers of restaurants than to customers of other businesses.
B. Such guarantees are likely to be more appealing to customers who know what to anticipate in terms of service.
C. Such guarantees are likely to have less appeal in situations where customers are knowledgeable about a business's product or service.
D. In situations where a high level of financial commitment is involved, a service guarantee is not likely to be very appealing.
E. In situations where customers expect a high level of customer service, a service guarantee is likely to make customers think that a business is worried about its service.
***
461. According to the passage, Tucci and Talaga found that service guarantees, when offered by lower-priced restaurants, can have which of the following effects?
A. Customers' developing unreasonably high expectations regarding service
B. Customers' avoiding such restaurants because they fear that the service guarantee may not be fully honored
C. Customers' interpreting the service guarantee as a sign that management is not confident about the quality of its service
D. A restaurant's becoming concerned that its service will not be assiduous enough to satisfy customers
E. A restaurant's becoming concerned that customers will be more emboldened to question the quality of the service they receive",5,,,RC
"Lines (5) - (30)
One proposal for preserving rain forests is to promote the adoption of new agricultural technologies, such as improved plant varieties and use of chemical herbicides, which would increase productivity and slow deforestation by reducing demand for new cropland. Studies have shown that farmers in developing countries who have achieved certain levels of education, wealth, and security of land tenure are more likely to adopt such technologies. But these studies have focused on villages with limited land that are tied to a market economy rather than on the relatively isolated, self-sufficient communities with ample land characteristic of rain-forest regions. A recent study of the Tawahka people of the Honduran rain forest found that farmers with some formal education were more likely to adopt improved plant varieties but less likely to use chemical herbicides and that those who spoke Spanish (the language of the market economy) were more likely to adopt both technologies. Nonland wealth was also associated with more adoption of both technologies, but availability of uncultivated land reduced the incentive to employ the productivity-enhancing technologies. Researchers also measured land-tenure security: in Tawahka society, kinship ties are a more important indicator of this than are legal property rights, so researchers measured it by a household's duration of residence in its village. They found that longer residence correlated with more adoption of improved plant varieties but less adoption of chemical herbicides.",RC,,,,"462. The passage suggests that in the study mentioned in line 14, the method for gathering information about security of land tenure reflects which of the following pairs of assumptions about Tawahka society?
A. The security of a household's land tenure depends on the strength of that household's kinship ties, and the duration of a household's residence in its village is an indication of the strength of that household's kinship ties.
B. The ample availability of land makes security of land tenure unimportant, and the lack of a need for secure land tenure has made the concept of legal property rights unnecessary.
C. The strength of a household's kinship ties is a more reliable indicator of that household's receptivity to new agricultural technologies than is its quantity of nonland wealth, and the duration of a household's residence in its village is a more reliable indicator of that household's security of land tenure than is the strength of its kinship ties.
D. Security of land tenure based on kinship ties tends to make farmers more receptive to the use of improved plant varieties, and security of land tenure based on long duration of residence in a village tends to make farmers more receptive to the use of chemical herbicides.
E. A household is more likely to be receptive to the concept of land tenure based on legal property rights if it has easy access to uncultivated land, and a household is more likely to uphold the tradition of land tenure based on kinship ties if it possesses a significant degree of nonland wealth.
***
463. According to the passage, the proposal mentioned in line 1 is aimed at preserving rain forests by encouraging farmers in rain-forest regions to do each of the following EXCEPT
A. adopt new agricultural technologies
B. grow improved plant varieties
C. decrease their use of chemical herbicides
D. increase their productivity
E. reduce their need to clear new land for cultivation",5,,,RC
"Lines (5) - (30)
The argument for ""monetizing""—or putting a monetary value on—ecosystem functions may be stated thus: Concern about the depletion of natural resources is widespread, but this concern, in the absence of an economic argument for conservation, has not translated into significant conservational progress. Some critics blame this impasse on environmentalists, whom they believe fail to address the economic issues of environmental degradation. Conservation can appear unprofitable when compared with the economic returns derived from converting natural assets (pristine coastlines, for example) into explicitly commercial ones (such as resort hotels). But according to David Pearce, that illusion stems from the fact that ""services"" provided by ecological systems are not traded on the commodities market, and thus have no readily quantifiable value. To remedy this, says Pearce, one has to show that all ecosystems have economic value—indeed, that all ecological services are economic services. Tourists visiting wildlife preserves, for example, create jobs and generate income for national economies; undisturbed forests and wetlands regulate water runoff and act as water-purifying systems, saving millions of dollars worth of damage to property and to marine ecosystems. In Gretchen Daily's view, monetization, while unpopular with many environmentalists, reflects the dominant role that economic considerations play in human behavior, and the expression of economic value in a common currency helps inform environmental decision-making processes.",RC,,,,"464. Information in the passage suggests that David Pearce would most readily endorse which of the following statements concerning monetization?
A. Monetization represents a strategy that is attractive to both environmentalists and their critics.
B. Monetization is an untested strategy, but it is increasingly being embraced by environmentalists.
C. Monetization should at present be restricted to ecological services and should only gradually be extended to such commercial endeavors as tourism and recreation.
D. Monetization can serve as a means of representing persuasively the value of environmental conservation.
E. Monetization should inform environmental decision-making processes only if it is accepted by environmentalist groups.
***
465. Which of the following most clearly represents an example of an ""ecological service"" as that term is used in line 20?
A. A resort hotel located in an area noted for its natural beauty
B. A water-purifying plant that supplements natural processes with nontoxic chemicals
C. A wildlife preserve that draws many international travelers
D. A nonprofit firm that specializes in restoring previously damaged ecosystems
E. A newsletter that keeps readers informed of ecological victories and setbacks
***
466. According to the passage, Daily sees monetization as an indication of which of the following?
A. The centrality of economic interests to people's actions
B. The reluctance of the critics of environmentalism to acknowledge the importance of conservation
C. The inability of financial interests and ecological interests to reach a common ideological ground
D. The inevitability of environmental degradation
E. The inevitability of the growth of ecological services in the future
***
467. Which of the following can be inferred from the passage concerning the environmentalists mentioned in line 8?
A. They are organized in opposition to the generation of income produced by the sale of ecological services.
B. They are fewer in number but better organized and better connected to the media than their opponents.
C. They have sometimes been charged with failing to use a particular strategy in their pursuit of conservational goals.
D. They have been in the forefront of publicizing the extent of worldwide environmental degradation.
E. They define environmental progress differently and more conservatively than do other organized groups of environmentalists.",5,,,RC
"Lines (5) - (30)
Much research has been devoted to investigating what motivates consumers to try new products. Previous consumer research suggests that both the price of a new product and the way it is advertised affect consumers' perceptions of the product's performance risk (the possibility that the product will not function as consumers expect and/or will not provide the desired benefits). Some of this research has concluded that a relatively high price will reduce a consumer's perception of the performance risk associated with purchasing a particular product, while other studies have reported that price has little or no effect on perceived performance risk. These conflicting findings may simply be due to the nature of product advertisements: a recent study indicates that the presentation of an advertised message has a marked effect on the relationship between price and perceived performance risk.

Researchers have identified consumers' perception of the credibility of the source of an advertised message—i.e., the manufacturer—as another factor affecting perceived performance risk: one study found that the greater the source credibility, the lower the consumer's perception of the risk of purchasing an advertised new product. However, past research suggests that the relationship between source credibility and perceived performance risk may be more complex: source credibility may interact with price in a subtle way to affect consumers' judgments of the performance risk associated with an advertised product.",RC,,,,"468. According to the passage, the studies referred to in line 12 reported which of the following about the effect of price on consumers' perception of the performance risk associated with a new product?
A. Although most consumers regard price as an important factor, their perception of the performance risk associated with a new product is ultimately determined by the manufacturer's reputation.
B. Price interacts with the presentation of an advertised message to affect perceived performance risk.
C. Price does not significantly affect consumers' perception of the performance risk associated with a new product.
D. Consumers tend to regard price as more important than the manufacturer's credibility when they are buying from that manufacturer for the first time.
E. Consumers are generally less concerned about a new product's performance risk when that product is relatively expensive.
***
469. The ""past research"" mentioned in line 25 suggests which of the following about perceived performance risk?
A. The more expensive a new product is, the more likely consumers may be to credit advertised claims about that product.
B. The more familiar consumers are with a particular manufacturer, the more willing they may be to assume some risk in the purchase of a new product being advertised by that manufacturer.
C. Consumers' perception of the performance risk associated with a new product being advertised may be influenced by an interplay between the product's price and the manufacturer's credibility.
D. Consumers may be more likely to believe that a product will function as it is advertised to do when they have bought products from a particular manufacturer before.
E. The price of a particular advertised product may have less impact than the manufacturer's credibility on consumers' assessment of the performance risk associated with that product.
***
470. The passage is primarily concerned with
A. challenging the implications of previous research into why consumers try new products
B. suggesting new marketing strategies for attracting consumers to new products
C. reconciling two different views about the effect of price on consumers' willingness to try new products
D. describing a new approach to researching why consumers try new products
E. discussing certain findings regarding why consumers try new products
***
471. Which of the following, if true, would most tend to weaken the conclusion drawn from ""some of this research"" (line 8)?
A. In a subsequent study, consumers who were asked to evaluate new products with relatively low prices had the same perception of the products' performance risk as did consumers who were shown the same products priced more expensively.
B. In a subsequent study, the quality of the advertising for the products that consumers perceived as having a lower performance risk was relatively high, while the quality of the advertising for the products that consumers perceived as having a higher performance risk was relatively poor.
C. In a subsequent study, the products that consumers perceived as having a lower performance risk were priced higher than the highest priced products in the previous research.
D. None of the consumers involved in this research had ever before bought products from the manufacturers involved in the research.
E. Researchers found that the higher the source credibility for a product, the more consumers were willing to pay for it.",5,,,RC
"Lines (5) - (35)
Historians remain divided over the role of banks in facilitating economic growth in the United States in the late eighteenth and early nineteenth centuries. Some scholars contend that banks played a minor role in the nation's growing economy. Financial institutions, they argue, appeared only after the economy had begun to develop, and once organized, followed conservative lending practices, providing aid to established commercial enterprises but shunning those, such as manufacturing and transportation projects, that were more uncertain and capital-intensive (i.e., requiring greater expenditures in the form of capital than in labor).

A growing number of historians argue, in contrast, that banks were crucial in transforming the early national economy. When state legislatures began granting more bank charters in the 1790s and early 1800s, the supply of credit rose accordingly. Unlike the earliest banks, which had primarily provided short-term loans to well-connected merchants, the banks of the early nineteenth century issued credit widely. As Paul Gilje asserts, the expansion and democratization of credit in the early nineteenth century became the driving force of the American economy, as banks began furnishing large amounts of capital to transportation and industrial enterprises. The exception, such historians argue, was in the South; here, the overwhelmingly agrarian nature of the economy generated outright opposition to banks, which were seen as monopolistic institutions controlled by an elite group of planters.",RC,,,,"472. The primary purpose of the passage is to
A. compare the economic role played by southern banks with the economic role played by banks in the rest of the United States during the late eighteenth and early nineteenth centuries
B. reevaluate a conventional interpretation of the role played by banks in the American economy during the late eighteenth and early nineteenth centuries
C. present different interpretations of the role played by banks in the American economy during the late eighteenth and early nineteenth centuries
D. analyze how the increasing number of banks in the late eighteenth and early nineteenth centuries affected the American economy
E. examine how scholarly opinion regarding the role played by banks in the American economy during the late eighteenth and early nineteenth centuries has changed over time
***
473. The passage suggests that the scholars mentioned in line 4 would argue that the reason banks tended not to fund manufacturing and transportation projects in the late eighteenth and early nineteenth centuries was that
A. these projects, being well established and well capitalized, did not need substantial long-term financing from banks
B. these projects entailed a level of risk that was too great for banks' conservative lending practices
C. banks preferred to invest in other, more speculative projects that offered the potential for higher returns
D. bank managers believed that these projects would be unlikely to contribute significantly to economic growth in the new country
E. bank managers believed funding these projects would result in credit being extended to too many borrowers
***
474. The passage suggests that Paul Gilje would be most likely to agree with which of the following claims about the lending practices of the ""earliest banks"" (see line 21)?
A. These lending practices were unlikely to generate substantial profits for banks.
B. These lending practices only benefited a narrow sector of the economy.
C. The restrictive nature of these lending practices generated significant opposition outside of the South.
D. The restrictive nature of these lending practices forced state legislatures to begin granting more bank charters by the early nineteenth century.
E. These lending practices were likely to be criticized by economic elites as being overly restrictive.
***
475. The passage suggests that the opposition to banks in the South in the early nineteenth century stemmed in part from the perception that banks
A. did not benefit more than a small minority of the people
B. did not support the interests of elite planters
C. were too closely tied to transportation and industrial interests
D. were unwilling to issue the long-term loans required by agrarian interests
E. were too willing to lend credit widely
***
476. Which of the following statements best describes the function of the last sentence of the passage?
A. It provides evidence tending to undermine the viewpoint of the scholars mentioned in line 5.
B. It resolves a conflict over the role of banks summarized in the first paragraph.
C. It clarifies some of the reasons state legislatures began granting more bank charters.
D. It qualifies a claim made earlier in the passage about the impact of banks on the American economy in the early nineteenth century.
E. It supports a claim made earlier in the passage about how the expansion of credit affected the economy.",5,,,RC
"Lines (5) - (30)
In recent years, Western business managers have been heeding the exhortations of business journalists and academics to move their companies toward long-term, collaborative ""strategic partnerships"" with their external business partners (e.g., suppliers). The experts' advice comes as a natural reaction to numerous studies conducted during the past decade that compared Japanese production and supply practices with those of the rest of the world. The link between the success of a certain well-known Japanese automaker and its effective management of its suppliers, for example, has led to an unquestioning belief within Western management circles in the value of strategic partnerships. Indeed, in the automobile sector all three United States manufacturers and most of their European competitors have launched programs to reduce their total number of suppliers and move toward having strategic partnerships with a few.

However, new research concerning supplier relationships in various industries demonstrates that the widespread assumption of Western managers and business consultants that Japanese firms manage their suppliers primarily through strategic partnerships is unjustified. Not only do Japanese firms appear to conduct a far smaller proportion of their business through strategic partnerships than is commonly believed, but they also make extensive use of ""market-exchange"" relationships, in which either party can turn to the marketplace and shift to different business partners at will, a practice usually associated with Western manufacturers.",RC,,,,"477. The passage is primarily concerned with
A. examining economic factors that may have contributed to the success of certain Japanese companies
B. discussing the relative merits of strategic partnerships as compared with those of market-exchange relationships
C. challenging the validity of a widely held assumption about how Japanese firms operate
D. explaining why Western companies have been slow to adopt a particular practice favored by Japanese companies
E. pointing out certain differences between Japanese and Western supplier relationships
***
478. According to the passage, the advice referred to in line 6 was a response to which of the following?
A. A recent decrease in the number of available suppliers within the United States automobile industry
B. A debate within Western management circles during the past decade regarding the value of strategic partnerships
C. The success of certain European automobile manufacturers that have adopted strategic partnerships
D. An increase in demand over the past decade for automobiles made by Western manufacturers
E. Research comparing Japanese business practices with those of other nations
***
479. The author mentions ""the success of a certain well-known Japanese automaker"" in lines 10–11, most probably in order to
A. demonstrate some of the possible reasons for the success of a certain business practice
B. cite a specific case that has convinced Western business experts of the value of a certain business practice
C. describe specific steps taken by Western automakers that have enabled them to compete more successfully in a global market
D. introduce a paradox about the effect of a certain business practice in Japan
E. indicate the need for Western managers to change their relationships with their external business partners
***
480. Which of the following is cited in the passage as evidence supporting the author's claim about what the new research referred to in line 20 demonstrates?
A. The belief within Western management circles regarding the extent to which Japanese firms rely on strategic partnerships
B. The surprising number of European and United States businesses that have strategic partnerships with their suppliers
C. The response of Western automobile manufacturers to the advice that they adopt strategic partnerships with their suppliers
D. The prevalence of ""market-exchange"" relationships between Japanese firms and their suppliers
E. The success of a particular Japanese automobile manufacturer that favors strategic partnerships with its suppliers",5,,,RC
"Lines (5) - (50)
In an effort to explain why business acquisitions often fail, scholars have begun to focus on the role of top executives of acquired companies. Acquired companies that retain their top executives tend to have more successful outcomes than those that do not. Furthermore, existing research suggests that retaining the highest-level top executives, such as the CEO (chief executive officer) and COO (chief operating officer), is related more positively to postacquisition success than retaining lower-ranked top executives. However, this explanation, while insightful, suffers from two limitations. First, the focus on positional rank does not recognize the variation in length of service that may exist in top executive posts across companies, nor does it address which particular top executives (with respect to length of service) should be retained to achieve a successful acquisition outcome. Second, the relationship between retained top executives and acquisition outcomes offered by existing research is subject to opposing theoretical explanations related to length of service. The resource-based view (RBV) suggests that keeping acquired company top executives with longer organizational tenure would lead to more successful outcomes, as those executives have idiosyncratic and nontransferable knowledge of the acquired company that would be valuable for the effective implementation of the acquisition. The opposing position, offered by the upper echelons perspective (UEP), suggests that retaining top executives having short organizational tenure would lead to more successful outcomes, as they would have the adaptability to manage most effectively during the uncertainty of the acquisition process.

Responding to these limitations, Bergh conducted a study of executive retention and acquisition outcome that focused on the organizational tenure of retained company top executives in 104 acquisitions, followed over 5 years. Bergh considered the acquisition successful if the acquired company was retained and unsuccessful if it was divested. Bergh's findings support the RBV position. Apparently, the benefits of long organizational tenure lead to more successful outcomes than the benefits of short organizational tenure. While longer-tenured top executives may have trouble adapting to change, it appears that their perspectives and knowledge bases offer unique value after the acquisition. Although from the UEP position it seems sensible to retain less-tenured executives and allow more-tenured ones to leave, such a strategy appears to lower the probability of acquisition success.",RC,,,,"481. According to the passage, the research mentioned in line 6 suggests which of the following about lower-ranked top executives and postacquisition success?
A. Given that these executives are unlikely to contribute to postacquisition success, little effort should be spent trying to retain them.
B. The shorter their length of service, the less likely it is that these executives will play a significant role in postacquisition success.
C. These executives are less important to postacquisition success than are more highly ranked top executives.
D. If they have long tenures, these executives may prove to be as important to postacquisition success as are more highly ranked top executives.
E. Postacquisition success is unlikely if these executives are retained.
***
482. The resource-based view, as described in the passage, is based on which of the following ideas?
A. The managerial skills of top executives become strongest after the first five years of their tenure.
B. Company-specific knowledge is an important factor in the success of an acquisition process.
C. The amount of nontransferable knowledge possessed by long-tenured top executives tends to be underestimated.
D. Effective implementation of an acquisition depends primarily on the ability of executives to adapt to change.
E. Short-tenured executives are likely to impede the implementation of a successful acquisition strategy.
***
483. The passage suggests that Bergh and a proponent of the upper echelons perspective would be most likely to disagree over which of the following?
A. Whether there is a positive correlation between short organizational tenure and managerial adaptability
B. Whether there is a positive correlation between long organizational tenure and the acquisition of idiosyncratic and nontransferable knowledge
C. Whether adaptability is a useful trait for an executive who is managing an acquisition process
D. Whether retaining less-tenured top executives of an acquired company is an optimal strategy for achieving postacquisition success
E. Whether retaining highest-level top executives of acquired companies is more important than retaining lower-ranked top executives
***
484. According to the passage, prior to Bergh's study, research on the role of top executives of acquired companies in business acquisition success was limited in which of the following ways?
A. It did not address how the organizational tenure of top executives affects postacquisition success.
B. It did not address why some companies have longer-tenured CEOs than others.
C. It did not consider strategies for retaining long-tenured top executives of acquired companies.
D. It failed to differentiate between the contribution of highest-level top executives to postacquisition success and that of lower-ranked top executives.
E. It underestimated the potential contribution that lower-level top executives can make to postacquisition success.",5,,,RC
"Lines (5) - (48)
When Jamaican-born social activist Marcus Garvey came to the United States in 1916, he arrived at precisely the right historical moment. What made the moment right was the return of African American soldiers from the First World War in 1918, which created an ideal constituency for someone with Garvey's message of unity, pride, and improved conditions for African American communities.

Hoping to participate in the traditional American ethos of individual success, many African American people entered the armed forces with enthusiasm, only to find themselves segregated from white troops and subjected to numerous indignities. They returned to a United States that was as segregated as it had been before the war. Considering similar experiences, anthropologist Anthony F. C. Wallace has argued that when a perceptible gap arises between a culture's expectations and the reality of that culture, the resulting tension can inspire a revitalization movement: an organized, conscious effort to construct a culture that fulfills longstanding expectations.

Some scholars have argued that Garvey created the consciousness from which he built, in the 1920s, the largest revitalization movement in African American history. But such an argument only tends to obscure the consciousness of identity, strength, and sense of history that already existed in the African American community. Garvey did not create this consciousness; rather, he gave this consciousness its political expression.",RC,,,,"485. According to the passage, which of the following contributed to Marcus Garvey's success?
A. He introduced cultural and historical consciousness to the African American community.
B. He believed enthusiastically in the traditional American success ethos.
C. His audience had already formed a consciousness that made it receptive to his message.
D. His message appealed to critics of African American support for United States military involvement in the First World War.
E. He supported the movement to protest segregation that had emerged prior to his arrival in the United States.
***
486. The passage suggests that many African American people responded to their experiences in the armed forces in which of the following ways?
A. They maintained as civilians their enthusiastic allegiance to the armed forces.
B. They questioned United States involvement in the First World War.
C. They joined political organizations to protest the segregation of African American troops and the indignities they suffered in the military.
D. They became aware of the gap between their expectations and the realities of American culture.
E. They repudiated Garvey's message of pride and unity.
***
487. It can be inferred from the passage that the ""scholars"" mentioned in line 24 believe which of the following to be true?
A. Revitalization resulted from the political activism of returning African American soldiers following the First World War.
B. Marcus Garvey had to change a number of prevailing attitudes in order for his mass movement to find a foothold in the United States.
C. The prevailing sensibility of the African American community provided the foundation of Marcus Garvey's political appeal.
D. Marcus Garvey hoped to revitalize consciousness of cultural and historical identity in the African American community.
E. The goal of the mass movement that Marcus Garvey helped bring into being was to build on the pride and unity among African Americans.
***
488. According to the passage, many African American people joined the armed forces during the First World War for which of the following reasons?
A. They wished to escape worsening economic conditions in African American communities.
B. They expected to fulfill ideals of personal attainment.
C. They sought to express their loyalty to the United States.
D. They hoped that joining the military would help advance the cause of desegregation.
E. They saw military service as an opportunity to fulfill Marcus Garvey's political vision.",5,,,RC
"Lines (5) - (45)
Arboria is floundering in the global marketplace, incurring devastating losses in market position and profits. The problem is not Arboria's products but Arboria's trade policy. Arboria faces the prospect of continuing economic loss until Arborian business and political leaders recognize the fundamental differences between Arborian and foreign economic systems. Today the key trade issue is not free trade versus protectionism but diminishing trade versus expanding trade.

Arboria is operating with an obsolete trade policy, an artifact of the mid-1940s when Arboria and Whorfland dominated the global economy, tariffs were the principal obstacle to trade, and Arborian supremacy was uncontested in virtually all industries. In the intervening decades, economic circumstances have shifted radically. Arborian trade policy has not.

Today, Arboria's trade policy seems paralyzed by the relentless conflict between proponents of ""free"" and ""fair"" trade. The free traders argue that Arborian markets should be open, and the movement of goods and services across national borders unrestrained. The fair traders assert that access to Arborian markets should be restricted until Arborian businesses are granted equal access to foreign markets. They contend that free trade is impossible while other nations erect barriers to Arborian exports.

Both are correct: fair trade requires equal access and equal access leads to free trade. But both sides base their positions on the same two outdated premises:
1. Global commerce is conducted under the terms of the General Agreement on Tariffs and Trade (GATT) and dominated by Arboria and similar economic systems abroad.
2. Multilateral negotiations are the most effective way to resolve pressing trade issues.
Both assumptions are wrong. The 40-year-old GATT now covers less than 7 percent of global commerce. World trade is no longer dominated by the free-trade economies; nearly 75 percent is conducted by economic systems operating with principles at odds with those of Arboria. Forging a multilateral trade policy consensus among so many diverse economic systems has become virtually impossible. And while multilateral talks drag on, Arboria misses opportunities for trade expansion.",RC,,,,"489. Which of the following best states the difference between free trade and fair trade, as explained in the passage?
A. Free trade requires no trade tariffs whatsoever, whereas fair trade assumes multilateral agreement on tariffs for goods of equal worth.
B. Free trade is based on the unrestricted movement of goods across all national boundaries, whereas fair trade is based on a nation's restriction of commerce with each nation that erects trade barriers to the first nation's exports.
C. The trade policies of countries like Arboria are based on the principles of free trade, whereas the trade policies of other types of world economies are based on fair trade.
D. Free-trade nations negotiate individual trade agreements with each of their trading partners, whereas fair-trade nations conduct multilateral trade negotiations.
E. Free trade assumes a constant level of global commerce, whereas fair trade promotes a steady expansion of international trade.
***
490. It can be inferred that the author of the passage would most likely agree with which of the following statements about multilateral trade negotiations?
A. They are the most effective way to resolve trade problems.
B. They are most effective in dealing with fair-trade issues between nations.
C. They have only recently begun to make an impact on world trade.
D. Arborian reliance on multilateral trade negotiations, while appropriate in the past, is inadequate for today's global marketplace.
E. The principles of multilateral trade negotiations are incompatible with current Arborian foreign trade policy.
***
491. Which of the following statements best summarizes the author's opinion of ""free traders"" and ""fair traders""?
A. The free and the fair traders' continuing debate provides a healthy and effective forum for examining Arborian trade policy.
B. The proponents of fair trade are essentially correct, while those who advocate free trade are not.
C. The proponents of free trade are better able to deal with current economic problems than are the fair traders.
D. Neither the free nor the fair traders can come up with a workable trade policy because neither takes multilateral negotiations into account.
E. The proponents of both free and fair trade have based their positions on out-of-date premises that do not reflect current economic conditions.
***
492. The author mentions all of the following as characteristic of world trade in the mid-1940s EXCEPT:
A. Arboria played a major role in the global marketplace.
B. Whorfland played a major role in the global marketplace.
C. Tariffs were the main obstacle to trade.
D. Fair-trade economies dominated international trade.
E. Arborian manufacturers were unsurpassed in most industries.
***
493. In presenting the argument in the passage, the author uses all of the following EXCEPT:
A. statistical information about global commerce
B. definitions of terms concerning world trade
C. generalizations about Arboria's economic system
D. historical background of Arborian trade policy
E. an example of an economic system whose principles differ from those of Arboria
***
494. The author asserts which of the following about Arboria's trade policy?
A. A dramatic revision of Arboria's trade policy will be necessary unless Arborian manufacturers improve the quality of their goods.
B. The most crucial issue facing Arborian trade policy makers is that of free trade versus protectionism.
C. Arboria's current trade policy was essentially developed during the 1940s and has changed little since that time.
D. Arboria's trade policy is widely emulated throughout the world, to the extent that most international commerce is modeled on Arboria's principles.
E. Arboria's trade policy has evolved gradually over the last eighty years, constantly readjusting itself in response to shifts in global commerce.
***
495. The passage is primarily concerned with
A. illustrating the erosion of Arboria's position in the world marketplace
B. examining the differences between ""free"" and ""fair"" traders
C. advocating a reassessment of Arboria's trade policy
D. criticizing the terms of the General Agreement on Tariffs and Trade (GATT)
E. comparing the different economic circumstances of Arboria's trade partners
***
496. The author implies that the main obstacle to a truly effective Arborian trade policy is the
A. weak position that Arboria currently holds in the global marketplace
B. inability of Arborian leaders to recognize that foreign economic systems are based on principles fundamentally different from their own
C. dominance of the supporters of free trade in the conflict between free-trade and fair-trade advocates
D. apparent inability of Arborian industries to produce goods that are competitive in the world market
E. protectionism that characterizes the foreign trade policies of so many of Arboria's trade partners",5,,,RC
