Passage,Correct answers,Type,Difficulty,Size,Questions,Flags
36=36=,729,,,,,TITA
215=215=,32768,,,,,TITA
"The sum of 50 odd numbers is
(A) even
(B) odd
(C) Can't say",A,,,,,3
"The product of 45 even numbers is
(A) even
(B) odd
(C) Can't say",A,,,,,3
"The sum of 30 composite numbers is
(A) even
(B) odd
(C) Can't say",C,,,,,3
"The product of 20 composite numbers is
(A) even
(B) odd
(C) Can't say",C,,,,,3
"The product of 20 prime numbers is
(A) even
(B) odd
(C) Can't say",C,,,,,3
"If the sum of 35 distinct prime numbers is even, then one of them has to be",2,,,,,TITA
The number of distinct prime factors of 13013 is,3,,,,,TITA
"0.27=0.27=
(A) 518185​
(B) 277999999277​
(C) 152333333152​
(D) 310103​",A,,,,,4
"0.456=0.456=
(A) 152300300152​
(B) 152330330152​
(C) 152333333152​
(D) 226495495226​",D,,,,,4
"0.12=0.12=
(A) 3733333337​
(B) 3733033037​
(C) 3730030037​
(D) 4133333341​",C,,,,,4
"Which of the following are not twin primes?
(A) 239 and 241
(B) 149 and 151
(C) 179 and 181
(D) 229 and 231",D,,,,,4
"Which of the following is a prime number?
(A) 437
(B) 323
(C) 567
(D) 241",D,,,,,4
"Which of the following numbers is divisible by 11?
(A) 1111111
(B) 77777
(C) 246642
(D) 7654321",C,,,,,4
The eight-digit number 7654321A is divisible by 9. Find A.,8,,,,,TITA
"The six-digit number 24687X is divisible by 9. Find X.
(A) 0
(B) 7
(C) 9
(D) Cannot be determined",D,,,,,4
"Is the ten-digit number PQRSTU6736 divisible by 32?
(A) Yes
(B) No
(C) Can't say",C,,,,,3
"Is the nine-digit number PQRST9875 divisible by 625?
(A) Yes
(B) No
(C) Can't say",B,,,,,3
"When the sum of the digits of a number is subtracted from the number, the result will always be divisible by
(A) 6
(B) 9
(C) 11
(D) 5",B,,,,,4
"The LCM and HCF of two numbers are 264 and 2 respectively. If one of them is 22, the other is",24,,,,,TITA
"If LCM (x, y, z) = (x)(y)(z), HCF (y, z) =
(A) 1
(B) 2
(C) x
(D) Can't say",A,,,,,4
"HCF (x, y, z) = 1. Is LCM (x, y, z) = (x)(y)(z)?
(A) Yes
(B) No
(C) Can't say",C,,,,,3
Find the number of factors of 38×6438×64.,65,,,,,TITA
"Is (33)(77)(215)(33)(77)(215) a perfect square?
(A) Yes
(B) No
(C) Can't say",A,,,,,3
"A number has an odd number of factors. Is it a perfect cube?
(A) Yes
(B) No
(C) Can't say",C,,,,,3
"A number has an even number of factors. Is it a perfect square?
(A) Yes
(B) No
(C) Can't say",B,,,,,3
111112=111112=,123454321,,,,,TITA
"Find the number of ways in which (58)(710)(58)(710) can be written as a product of 2 distinct natural numbers.
(A) 40
(B) 45
(C) 49
(D) 50",C,,,,,4
Find the number of ways in which (38)(73)(38)(73) can be written as a product of 2 distinct natural numbers.,14,,,,,TITA
"Find the number of ways in which (28)(310)(28)(310) can be written as a product of two co-primes.
(A) 2
(B) 4
(C) 6
(D) 11",A,,,,,4
Find the number of ways in which (23)(34)(56)(78)(23)(34)(56)(78) can be written as a product of two co-primes.,8,,,,,TITA
"Find the sum of the factors of (24)(33)(24)(33)
(A) 930
(B) 1240
(C) 1085
(D) 808",B,,,,,4
Find the sum of the factors of 437.,480,,,,,TITA
"If N is a perfect number, the sum of all the factors of N equals
(A) N
(B) 2N
(C) 3N
(D) 4N",B,,,,,4
"Find the number of numbers less than 214214 and co-prime to it.
(A) 212212
(B) 222222
(C) 223223
(D) 213213",D,,,,,4
"If N=3p×2q×32rN=3p×2q×32r find the number of numbers less than N and co-prime to it (Express your answer in terms of N).
(A) N44N​
(B) N33N​
(C) 2N332N​
(D) N22N​",B,,,,,4
Find the number of numbers co-prime to 289 and less than it.,272,,,,,TITA
Find the sum of the numbers which are co-prime to 48 and less than 48.,384,,,,,TITA
"If x+1x=4x+x1​=4 x2+1x2=x2+x21​=
(A) 8
(B) 10
(C) 12
(D) 14",D,,,,,4
If y−1y=3y−y1​=3 y2+1y2=y2+y21​=,11,,,,,TITA
"Which of the following is/are a factor(s) of x4−3x2+1?x4−3x2+1?
(A) x2−2x+1x2−2x+1
(B) x2−x−1x2−x−1
(C) x2+x−1x2+x−1
(D) More than one of the above",D,,,,,4
