Passage,Correct Answers,,,,Questions
"Directions for questions: 81 to 84: Read the given passage and answer the questions that follow.

About two weeks after 7 October, I received a WhatsApp message from an acquaintance in Gaza. He asked me to check on his mother, who at that time was hospitalised in East Jerusalem. He had been unable to contact her for several days. When I asked him for her details, he stopped replying.

A month ago, out of the blue, I got a message from him: “Hello Orly,” in Arabic. Excited, I asked how he was, where he was, and how his family were doing. The reply I received was: “Mahmoud was killed at the beginning of the war, this is his sister.” I wrote words of condolence and asked about her condition. I heard nothing more.

It is extremely hard to put into words the unprecedented hell these past two years have brought, but perhaps the single word that best captures their indescribable essence is this: disappearance.

It feels as if everything has vanished. Not only the tens of thousands of Palestinians in Gaza erased without graves, without records, as if they had never existed – so many other things have been hollowed out: basic conceptions of morality, decency, compassion, humanity, hope, future.

The organising logic of everyday life has vanished. Nothing makes sense, and it feels as though no one here even expects sense any more. A war whose declared aims were the return of hostages and the dismantling of Hamas has, under the cover of a vague promise of “total victory”, turned into full-scale genocide. Israeli society has embraced it – terrified and enthralled at once by a taboo finally permitted to be broken, and by the possibility of openly dreaming about the total disappearance of Palestinians.

Two years ago, days after the massacre of 7 October, I warned of revenge that would achieve nothing but yet more violence and suffering. I feared the unbridled Israeli response I knew would follow, but even in my worst nightmares I did not imagine it could amount to such systematic, calculated annihilation. I did not believe Israel would reach the point of starving people to death. I did not believe it would, on average, erase a classroom of children every single day for two whole years. Nor did I believe the world would permit Israel to do all this – a perverse, inverted antisemitism that effectively says: the rules of humanity do not apply to this Jewish collective.

Very abnormal things were normalised here in these two years. Debates erupted over whether the bloated-bellied Gazan children had truly died of starvation, or whether they had pre-existing conditions and therefore Israel had no hand in their deaths; the conversion of a hilltop lookout in the Israeli border town of Sderot into a popular tourist spot for Israelis who came to watch, with a grim pleasure, the mushrooming plumes of smoke over Gaza.

A dizzying cognitive dissonance gripped Israeli society: even after it became beyond doubt that destroying Gaza and its population would not bring the hostages back and in fact endangered them – as every released hostage testified – and even after it was proved that the only way to bring them back alive was through agreements and a ceasefire, it took a very long time before demonstrations for the hostages also included calls for an end to the war. And even then, almost no one dared speak of the crimes against humanity the Israeli army was committing, and there was no mass movement of conscientious objectors among soldiers refusing to take part in those crimes.","a
b
c
b",,,,"Q.81 What is the main idea of the passage?
a The author highlights the difficulty of understanding the events and societal changes in Israel and Gaza over the past two years.
b The passage reflects on the global support for Israel’s actions and the normalization of violence.
c The author discusses the ongoing humanitarian crisis and the emotional toll it has taken on people in both Gaza and Israel.
d The passage is an analysis of the strategic military operations Israel undertook during the war.
***
Q.82 What can be inferred about the author's views on the Israeli response to the conflict?
a The author believes the Israeli response has been justified by the actions of Hamas.
b The author implies that Israel’s actions have crossed ethical lines, leading to widespread suffering.
c The author thinks the Israeli response was too restrained and had limited impact on the conflict.
d The author suggests that the Israeli response has successfully achieved its goals in the region.
***
Q.83 What does the passage suggest about the conditions of Palestinians in Gaza?
a Palestinians in Gaza have experienced a steady improvement in their living conditions despite the war.
b The Israeli military operations have focused primarily on reducing the power of Hamas, not causing civilian casualties.
c The Israeli attacks have led to the destruction of Gaza, with many people erased without graves or records.
d Palestinians in Gaza have been given full access to humanitarian aid during the conflict.
***
Q.84 In the passage, the word ""cognitive dissonance"" most nearly means:
a A state of emotional calm despite overwhelming conflict.
b The discomfort caused by holding two conflicting ideas simultaneously.
c The sense of guilt felt when one’s actions are incongruent with their values.
d A feeling of moral superiority in the face of violent actions."
"Directions for questions 85 to 88: Read the given passage and answer the questions that follow.

When I left my family home to study at university in 2007 and moved to downtown Budapest, housing costs were hardly a topic of conversation among my friends. I rented rooms in centrally located flats for £80-£100 per month. Fast forward to 2025 and a similar room in a shared flat would set you back at least £200 – double the price of 15 years ago. Talk to anyone in their 20s in Budapest today, and the deepening housing crisis will inevitably come up as one of the defining struggles of their lives.

The statistics paint an equally grim picture. Between 2010 and 2024, Hungary saw the largest increase of the housing price index among EU member states. While the EU average rose by 55.4%, Hungary’s housing price index rocketed by 234%. Meanwhile, per capita net income only grew by 86% in the 2010s. Budapest, the capital, is the centre of this crisis. According to the Hungarian National Bank, residential property prices are overvalued by 5-19%. This is partly explained with the high proportion of investment-driven purchases: these accounted for 30-50% of all transactions in the last five years in Hungary. Unlike in many other EU capitals, property investors in Budapest are not primarily foreign nationals – who accounted for just 7.3% of transactions between 2016 and 2022 – nor are they institutional players. Instead, they are typically individual Hungarian citizens. As real estate has become an increasingly appealing investment for upper- and middle-class households amid growing economic uncertainty, the result has been a deepening polarisation within Hungarian society.

The problem has become so glaring that, after a decade of silence, even the ruling rightwing Fidesz government has begun to acknowledge it in recent months. Since coming to power in 2010 with a constitutional majority, Fidesz’s housing policies have focused mainly on subsidising home purchases for middle-class families. Only about 10% of all housing-related government spending has targeted lower-income groups. Meanwhile, Hungary’s public housing sector has shrunk dramatically, from covering 20% of the housing stock in 1990 to a mere 2% today.

The government’s longstanding neglect of the housing issue is no accident. It stems from a deeply rooted ideological narrative. In 2014, the prime minister, Viktor Orbán, declared in an interview: “My basic principle is that my house is my castle – I am a believer in owner-occupancy and family homes.” This narrative – common across former eastern bloc countries – paints home ownership as a kind of cultural destiny, portraying the state socialist era’s large-scale public housing programmes as historical aberrations.

But this view is neither historically accurate nor economically realistic. In fact, socialist-era housing policies bore strong similarities to public housing systems in western Europe. Affordable housing developments helped the upward social mobility of millions, creating opportunities that had previously been unimaginable. Yet after 1990, anti-communist sentiment combined with “shock therapy” reforms – including the rapid privatisation of half a million dwellings – forged a political imagination that has sidelined rental and public housing, replacing it with the dream of universal home ownership.","a
b
b
c",,,,"Q.85 Which of the following assumptions underlies the argument that housing costs in Budapest are a defining struggle for people in their 20s?
a The increased housing prices are the primary factor affecting the financial well-being of young people in Budapest.
b Property investors in Budapest are primarily foreign nationals, which is driving up housing prices.
c The housing crisis has significantly impacted young people's ability to access property ownership.
d The rise in housing prices is due to Hungary's economic growth, which has outpaced other EU member states.
***
Q.86 What can be inferred about Hungary's housing policies from the passage?
a The Hungarian government has been actively addressing the needs of lower-income groups in the housing sector.
b The government's policies have disproportionately favored middle-class families, neglecting the needs of lower-income groups.
c The government’s housing policies have been successful in solving the housing crisis in Budapest.
d The Hungarian government has largely ignored the housing market's impact on the upper and middle classes.
***
Q.87 According to the passage, which of the following best describes the trend in Hungary’s housing price index between 2010 and 2024?
a Hungary’s housing price index increased by a smaller percentage than the EU average.
b Hungary's housing price index rose by 234%, a far greater increase than the EU average.
c The housing price index in Hungary remained stable, showing only minor fluctuations.
d Hungary’s housing prices saw a slight decrease, despite the increase in per capita income.
***
Q.88 In the passage, the word ""gripping"" most nearly means:
a Causing a brief, sudden interest in something that quickly fades away.
b Having a strong hold or influence, especially in a way that captivates attention.
c Being unstable or prone to rapid change, particularly in terms of emotions.
d Being easy to comprehend or understand, with no complicated elements."
"Directions for questions 89 to 92: In each of the following questions, you are provided with a sentence or passage with two blanks. For each blank, choose the word or phrase that best completes the meaning of the sentence or passage.

Q.89 The recent study on climate change presents a __________ outlook for future generations, indicating that the damage to ecosystems is __________ and irreversible.
a hopeful, retrievable
b grim, permanent
c optimistic, gradual
d cautious, repairable",b,,,,
"Q.90 Despite his reputation for __________ in legal matters, the lawyer was unable to __________ the evidence that would have cleared his client.
a precision, distort
b competence, disprove
c ambiguity, support
d expertise, present",d,,,,
"Q.91 The politician's __________ promises during the election campaign were designed to __________ the concerns of voters, but they were quickly forgotten after the election.
a sincere, address
b empty, placate
c bold, intensify
d persuasive, divert",b,,,,
"Q.92 Her __________ attitude towards her colleagues created a sense of __________, making collaboration difficult and leading to tension within the team.
a respectful, unity
b dismissive, hostility
c generous, warmth
d considerate, peace",b,,,,
"Q.93 Directions for questions 93 to 95: In each of the following questions, choose the word that is spelled correctly from the given options.
a Persue
b Pursew
c Persew
d Pursue",d,,,,
"Q.94 Directions for questions 93 to 95: In each of the following questions, choose the word that is spelled correctly from the given options.
a Indispensable
b Indispenzable
c Indespensible
d Indispensible",a,,,,
"Q.95 Directions for questions 93 to 95: In each of the following questions, choose the word that is spelled correctly from the given options.
a Irresistable
b Irresisteble
c Irresistible
d Irresestible",c,,,,
"Q.96 Directions for questions 96 to 98: In each of the following questions, an idiom or phrase is underlined. Choose the alternative that best expresses its meaning.
In his fiery speech, the politician seemed to throw down the gauntlet to his rival.
a To admit defeat openly
b To avoid confrontation deliberately
c To surrender without a fight
d To issue a challenge boldly",d,,,,
