Passage,Correct answers,Type,Difficulty,Size,Questions,Flags
Questions (with Instructions),Correct Answer,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q1. Statements:
All exams are tough.
No easy is tough.
Conclusions:
1. Some exams are easy.
2. No easy is exam.",b,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q2. Statements:
Some batteries are re-chargeable.
No re-chargeable is cheap.
Conclusions:
1. Some batteries are not cheap.
2. No cheap is re-chargeable.",c,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q3. Statements:
Some Siris are googles.
All googles are Alexas.
Conclusions:
1. Some Siris are Alexas.
2. No Alexa is google.",a,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q4. Statements:
Some coffees are filter coffees.
All South Indians have filter coffee.
Conclusions:
1. Some South Indians have coffee.
2. No filter coffee is coffee.",d,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q5. Statements:
All tenth exams are cancelled.
All cancellations are welcome.
Conclusions:
1. Some tenth exams are welcome.
2. All cancelled are tenth exams.",a,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q6. Statements:
Wall papers have matt finish.
Matt finish is smooth.
Conclusions:
1. Some matt finish are wall papers.
2. All wall papers are smooth.",c,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q7. Statements:
Iron pipes do not leak.
Some plastic pipes leak.
Conclusions:
1. Iron pipes leak.
2. Some plastic pipes are not iron pipes.",b,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q8. Statements:
Not all remotes work.
No work is valuable.
Conclusions:
1. Some remotes are not valuable.
2. Some valuable don't work.",c,,,,,
"Instructions (Q1-Q10): Directions for questions 1 to 10: In each of the following questions, two statements are followed by two conclusions numbered I and II. You have to take the two given statements to be true even if they seem to be at variance with the commonly known facts and then decide which of the given conclusions logically follows from the given statements, disregarding commonly known facts. Mark your answer as: (a) if only conclusion I follows (b) if only conclusion II follows (c) if both I and II follow (d) if neither I nor II follow

Q9. Statements:
Only girls are beautiful.
No boy is beautiful.
Conclusions:
1. All girls are beautiful.
2. Some girls are not boys.",b,,,,,
