,Answer,Type,Difficulty,Size,Questions,Flags
"Directions:  the word at the top is used in four different ways, lettered (A) to (D).
 Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 1. DOWN
 (A) She felt a bit down when she was ignored by the other members in the group. 
 (B) The factory is shut down temporarily as many machines have broken down. 
 (C) Down the ages there has been little improvement in the status of women. 
 (D) She was down from malaria for more than two weeks.",D,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 2. LIVE
 (A) His inspiring words lived with me and kept me going. 
 (B) Throughout his life he believed in truth and lived by it. 
 (C) You should learn to live up the problem. 
 (D) I don't think he will be able to live the notoriety down.",C,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 3. MATTER
 (A) Your personal problems may not be a matter of concern to everyone here. 
 (B) Is something the matter with your daughter? 
 (C) Being a good leader is all a matter of understanding people. 
 (D) There is nothing one can do to improve the matter.",D,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 4. VIEW
 (A) She has always viewed me with suspicion. 
 (B) The match between India and Pakistan had a viewing audience of more than 10 million. 
 (C) He is getting his car repainted with a view of selling it. 
 (D) He wanted to study management and he worked hard with this end in view.",C,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 5. VOTE
 (A) The committee decided to listen to the arguments on both sides and then vote on it. 
 (B) George Lucas was voted as the most promising director. 
 (C) The members of the board have just voted themselves a huge pay increase. 
 (D) A proposal to recruit new people was voted through yesterday.",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 6. TRIM
 (A) The budget has been trimmed by 10,000. 
 (B) Your dress is too long, why don't you trim two centimetres of the hem? 
 (C) To meet the cost of living we have to trim down our expenses. 
 (D) Every member of the team needs to get trim for the upcoming match.",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 7. CAUGHT
 (A) The police walked in and caught him with bomb- making equipment. 
 (B) I caught the 2.15 from Bangalore. 
 (C) The newly invented solar car never really caught on. 
 (D) Although he became a minister, his criminal past soon caught on with him.",D,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 8. CAUTION
 (A) As it was not a serious crime, she got off with caution. 
 (B) I cautioned him against spending too much on luxuries. 
 (C) He cast caution to the wind and went fishing in the storm. 
 (D) He was not sent to prison, instead he was cautioned.",A,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 9. EYE
 (A) She looks at everything with a critical eye. 
 (B) The residents of the colony were asked to keep an eye on for anything suspicious. 
 (C) I can't look her in the eye again. 
 (D) She studied commerce with an eye to becoming an entrepreneur",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 10. FIX
 (A) They got themselves into a fix about the matter. 
 (B) They had fixed up the auditorium before the programme began. 
 (C) Switzerland is a beautiful place to fix on for your honeymoon. 
 (D) Can I fix on supper for you?",D,Vocab,,,,
